Strategy,Correct
A,225
C,290
C,312
A,280
B,298
B,260
C,340
A,240
B,275
B,265
C,360
A,310
B,278
C,270
C,350
A,320
A,260
B,290
B,255
B,345
C,330
C,400
A,310
A,245
B,265
B,310
C,280
C,320
A,280
A,260
B,295
C,270
A,310
A,330
C,300
C,265
B,320
C,255
A,275
A,280
B,315
C,270
A,295
A,250
A,290
B,305
B,285
C,390
C,265
A,310
B,300
B,235
A,270
C,280
A,285
A,275
A,290
A,270
B,325
B,315
B,245
A,255
A,260
B,255
C,310
B,370
A,290
B,300
C,265
,
