Training,Testing,Correct
Interactive,Interactive,38
Interactive,Interactive,35
Interactive,Interactive,36
Interactive,Interactive,30
Interactive,Interactive,40
Interactive,Interactive,39
Interactive,Interactive,10
Interactive,Interactive,34
Interactive,Interactive,22
Interactive,Interactive,5
Interactive,Interactive,27
Interactive,Interactive,30
Interactive,Interactive,8
Interactive,Interactive,40
Interactive,Interactive,39
Interactive,Interactive,15
Interactive,Interactive,9
Interactive,Interactive,39
Interactive,Interactive,33
Interactive,Interactive,36
Traditional,Interactive,14
Traditional,Interactive,5
Traditional,Interactive,37
Traditional,Interactive,4
Traditional,Interactive,8
Traditional,Interactive,15
Traditional,Interactive,35
Traditional,Interactive,38
Traditional,Interactive,34
Traditional,Interactive,2
Traditional,Interactive,1
Traditional,Interactive,30
Traditional,Interactive,29
Traditional,Interactive,12
Traditional,Interactive,4
Traditional,Interactive,24
Traditional,Interactive,6
Traditional,Interactive,14
Traditional,Interactive,39
Traditional,Interactive,8
Interactive,Traditional,38
Interactive,Traditional,3
Interactive,Traditional,35
Interactive,Traditional,39
Interactive,Traditional,40
Interactive,Traditional,38
Interactive,Traditional,5
Interactive,Traditional,39
Interactive,Traditional,9
Interactive,Traditional,3
Interactive,Traditional,7
Interactive,Traditional,13
Interactive,Traditional,4
Interactive,Traditional,31
Interactive,Traditional,32
Interactive,Traditional,15
Interactive,Traditional,26
Interactive,Traditional,10
Interactive,Traditional,29
Interactive,Traditional,2
Interactive,Traditional,22
Interactive,Traditional,5
Interactive,Traditional,31
Interactive,Traditional,8
Traditional,Traditional,32
Traditional,Traditional,8
Traditional,Traditional,34
Traditional,Traditional,20
Traditional,Traditional,24
Traditional,Traditional,39
Traditional,Traditional,40
Traditional,Traditional,4
Traditional,Traditional,39
Traditional,Traditional,38
Traditional,Traditional,6
Traditional,Traditional,39
Traditional,Traditional,14
Traditional,Traditional,29
Traditional,Traditional,22
Traditional,Traditional,12
,,
,,
,,
,,
