Reaction_Time,Condition
325.5461295,Classical
262.4503211,Classical
338.7849009,Classical
289.9680655,Classical
305.4153125,Classical
289.9146694,Classical
412.6139092,Classical
319.3251388,Classical
267.1144536,Classical
361.1272456,Classical
258.9578175,Classical
330.4431798,Classical
222.0164938,Classical
253.5906976,Classical
329.8430618,Classical
356.923329,Classical
328.5684141,Classical
314.2175859,Classical
304.9448152,Classical
246.0739005,Classical
284.0077896,Classical
296.9680615,Classical
372.8561113,Classical
337.1809145,Classical
231.8479922,Classical
336.2041985,Classical
300.745886,Classical
286.1539,Classical
350.5838144,Classical
371.5499761,Classical
366.564006,Classical
278.0391238,Classical
304.5393812,Classical
336.5631716,Classical
368.7772564,Classical
296.0412881,Classical
310.7170512,Classical
264.6832513,Classical
260.1896688,Classical
360.6262911,Classical
387.8120014,Classical
316.3994939,Classical
370.1766449,Classical
338.0818013,Classical
287.7440123,Classical
338.0697803,Classical
396.9018283,Classical
318.208698,Classical
398.2321828,Classical
189.0127448,Classical
361.0951252,Classical
324.3523534,Classical
305.0496325,Classical
324.5880388,Classical
220.6215543,Classical
309.0164056,Classical
337.8556286,Classical
393.8947022,Classical
294.0864891,Classical
279.5753199,Classical
294.9121478,Classical
365.7701059,Classical
336.4375555,Classical
293.5119898,Classical
345.6633717,Classical
324.8538775,Classical
368.4322495,Classical
284.8973453,Classical
303.6168927,Classical
300.3945923,Classical
246.8242526,Classical
334.8060139,Classical
333.0527636,Classical
320.2556728,Classical
308.2706433,Classical
265.0777555,Pop
324.7612806,Pop
329.437129,Pop
301.8633638,Pop
340.3228573,Pop
374.2430514,Pop
463.1711541,Pop
360.4746688,Pop
365.4530234,Pop
345.5332451,Pop
234.8737271,Pop
348.4091675,Pop
353.6138126,Pop
497.7945267,Pop
338.4583421,Pop
368.0928405,Pop
347.9172938,Pop
279.8793177,Pop
418.5693689,Pop
395.115982,Pop
397.4619168,Pop
295.4367527,Pop
434.1676587,Pop
265.8889362,Pop
385.2114256,Pop
481.4273375,Pop
290.5678205,Pop
316.0221362,Pop
355.9790819,Pop
319.7914608,Pop
256.9601941,Pop
354.1137785,Pop
286.2617772,Pop
378.4155458,Pop
294.8345459,Pop
442.9960643,Pop
303.0048025,Pop
330.676309,Pop
398.811033,Pop
276.148141,Pop
363.6475961,Pop
428.4285653,Pop
253.5510059,Pop
361.0780315,Pop
365.5929677,Pop
396.9093723,Pop
275.7829573,Pop
270.7726032,Pop
381.3164939,Pop
367.8190804,Pop
365.029571,Pop
370.7868926,Pop
309.1985167,Pop
363.9352218,Pop
367.5843484,Pop
307.1389149,Pop
461.9464707,Pop
378.4299753,Pop
278.5217902,Pop
389.3932165,Pop
291.5190998,Pop
397.2250762,Pop
419.5157347,Pop
300.7590609,Pop
407.8025678,Pop
374.7668556,Pop
399.3236096,Pop
463.807579,Pop
335.276713,Pop
304.7758301,Pop
296.6291342,Pop
301.0513829,Pop
345.3738974,Pop
370.4691185,Pop
366.601448,Pop
